index,value,cause,race,county,upper
0,4.715117535914898,_all,0,531,1088.9536451779695
1,2.5773082868631674,_comm,0,531,1088.9536451779695
2,0.4948156346278506,_inj,0,531,1088.9536451779695
3,1.6845082917291632,_ncd,0,531,1088.9536451779695
4,1.006803701483458,_all,1,531,277.09981149617977
5,0.5281672855298369,_comm,1,531,277.09981149617977
6,0.1216293984416569,_inj,1,531,277.09981149617977
7,0.393899461902968,_ncd,1,531,277.09981149617977
8,0.1783685099678194,_all,2,531,27.22384112944924
9,0.1050655412986911,_comm,2,531,27.22384112944924
10,0.0216640903508103,_inj,2,531,27.22384112944924
11,0.0504106720669209,_ncd,2,531,27.22384112944924
12,0.0124290838850869,_all,3,531,1.9445600806749457
13,0.0039669111157441,_comm,3,531,1.9445600806749457
14,0.0018619744687551,_inj,3,531,1.9445600806749457
15,0.0055100489147248,_ncd,3,531,1.9445600806749457
16,2.1021040739582153,_all,4,531,464.749859281312
17,1.1489071802299236,_comm,4,531,464.749859281312
18,0.0901154903480653,_inj,4,531,464.749859281312
19,0.7866483823905648,_ncd,4,531,464.749859281312
20,2.2063410557895105,_all,7,531,317.93557319035364
21,0.9272746928286932,_comm,7,531,317.93557319035364
22,0.1631387008502798,_inj,7,531,317.93557319035364
23,0.8655199192487961,_ncd,7,531,317.93557319035364
24,23.405353724119102,_all,0,532,6057.304651302456
25,17.065791054324094,_comm,0,532,6057.304651302456
26,2.0129189874678985,_inj,0,532,6057.304651302456
27,8.30301534868455,_ncd,0,532,6057.304651302456
28,5.652618967212993,_all,1,532,1558.564904660969
29,3.309722899076811,_comm,1,532,1558.564904660969
30,0.5001658259671226,_inj,1,532,1558.564904660969
31,2.234120458137908,_ncd,1,532,1558.564904660969
32,1.9784371789766615,_all,2,532,296.5454123029292
33,1.2787033422394545,_comm,2,532,296.5454123029292
34,0.1850851536551334,_inj,2,532,296.5454123029292
35,0.5433883394786808,_ncd,2,532,296.5454123029292
36,0.0565486516790159,_all,3,532,10.695080443712202
37,0.0210947606425455,_comm,3,532,10.695080443712202
38,0.0065736350066763,_inj,3,532,10.695080443712202
39,0.0242006257953818,_ncd,3,532,10.695080443712202
40,11.95439337840171,_all,4,532,2995.594804279754
41,9.093612972425468,_comm,4,532,2995.594804279754
42,0.4914172427191471,_inj,4,532,2995.594804279754
43,4.391572770575774,_ncd,4,532,2995.594804279754
44,9.004017718203542,_all,7,532,1195.9044496150916
45,3.862360154921312,_comm,7,532,1195.9044496150916
46,0.4121925497357803,_inj,7,532,1195.9044496150916
47,3.6860608510752977,_ncd,7,532,1195.9044496150916
48,1.4943789011007016,_all,0,533,384.0506159333018
49,0.9595797524211503,_comm,0,533,384.0506159333018
50,0.155592984991548,_inj,0,533,384.0506159333018
51,0.5282125629820065,_ncd,0,533,384.0506159333018
52,0.3802061232905745,_all,1,533,109.86764455813444
53,0.2321319037153973,_comm,1,533,109.86764455813444
54,0.0447813895312222,_inj,1,533,109.86764455813444
55,0.1468561940709183,_ncd,1,533,109.86764455813444
56,0.033329403878443,_all,2,533,5.833680242024837
57,0.0207278914005288,_comm,2,533,5.833680242024837
58,0.0042223768397575,_inj,2,533,5.833680242024837
59,0.0093567588096684,_ncd,2,533,5.833680242024837
61,,_comm,3,533,0.0
62,,_inj,3,533,0.0
63,,_ncd,3,533,0.0
64,0.6721170815045314,_all,4,533,167.23216693804534
65,0.4365013166342594,_comm,4,533,167.23216693804534
66,0.0313347946774438,_inj,4,533,167.23216693804534
67,0.2469493718359815,_ncd,4,533,167.23216693804534
68,0.5470209231926237,_all,7,533,101.11712419509716
69,0.2573455320678923,_comm,7,533,101.11712419509716
70,0.0327260221812028,_inj,7,533,101.11712419509716
71,0.225547212684083,_ncd,7,533,101.11712419509716
72,3.4890460982203337,_all,0,534,879.9134365054128
73,1.5846239249400185,_comm,0,534,879.9134365054128
74,0.3165567745263194,_inj,0,534,879.9134365054128
75,1.2661667772701426,_ncd,0,534,879.9134365054128
76,0.99035161838862,_all,1,534,285.850331859217
77,0.4254498730337836,_comm,1,534,285.850331859217
78,0.1084206535576679,_inj,1,534,285.850331859217
79,0.3928687537874611,_ncd,1,534,285.850331859217
80,0.0977272049566731,_all,2,534,15.556480645399564
81,0.055022165792189,_comm,2,534,15.556480645399564
82,0.0111443954992298,_inj,2,534,15.556480645399564
83,0.0274111495201935,_ncd,2,534,15.556480645399564
84,0.0173920473502959,_all,3,534,2.9168401210124184
85,0.0055746453160651,_comm,3,534,2.9168401210124184
86,0.0023019955049737,_inj,3,534,2.9168401210124184
87,0.0078596393909684,_ncd,3,534,2.9168401210124184
88,1.6700002045967406,_all,4,534,400.5793766190389
89,0.8349752873783477,_comm,4,534,400.5793766190389
90,0.0635761726555224,_inj,4,534,400.5793766190389
91,0.6312734165265907,_ncd,4,534,400.5793766190389
92,0.869813755655785,_all,7,534,175.0104072607451
93,0.4027939676900306,_comm,7,534,175.0104072607451
94,0.0537928830616621,_inj,7,534,175.0104072607451
95,0.3590387602560029,_ncd,7,534,175.0104072607451
